timestamp,temperatura,vibracao
2026-06-15 23:03:53.040264000,52.48,1.87
2026-06-15 23:18:25.767536727,49.31,2.66
2026-06-15 23:32:58.494809454,53.24,2.73
2026-06-15 23:47:31.222082181,57.62,2.36
2026-06-16 00:02:03.949354909,48.83,2.87
2026-06-16 00:16:36.676627636,48.83,3.32
2026-06-16 00:31:09.403900363,57.9,4.51
2026-06-16 00:45:42.131173090,53.84,3.14
2026-06-16 01:00:14.858445818,47.65,3.21
2026-06-16 01:14:47.585718545,52.71,2.94
2026-06-16 01:29:20.312991272,47.68,1.46
2026-06-16 01:43:53.040264000,47.67,2.98
2026-06-16 01:58:25.767536727,51.21,3.05
2026-06-16 02:12:58.494809454,40.43,4.97
2026-06-16 02:27:31.222082181,41.38,2.85
2026-06-16 02:42:03.949354909,47.19,3.24
2026-06-16 02:56:36.676627636,44.94,2.97
2026-06-16 03:11:09.403900363,51.57,2.07
2026-06-16 03:25:42.131173090,45.46,3.91
2026-06-16 03:40:14.858445818,42.94,3.6
2026-06-16 03:54:47.585718545,57.33,3.63
2026-06-16 04:09:20.312991272,48.87,2.27
2026-06-16 04:23:53.040264000,50.34,4.12
2026-06-16 04:38:25.767536727,42.88,1.88
2026-06-16 04:52:58.494809454,47.28,3.47
2026-06-16 05:07:31.222082181,50.55,4.75
2026-06-16 05:22:03.949354909,44.25,2.21
2026-06-16 05:36:36.676627636,51.88,2.55
2026-06-16 05:51:09.403900363,47.0,3.08
2026-06-16 06:05:42.131173090,48.54,2.6
2026-06-16 06:20:14.858445818,46.99,1.76
2026-06-16 06:34:47.585718545,59.26,3.05
2026-06-16 06:49:20.312991272,49.93,2.15
2026-06-16 07:03:53.040264000,44.71,3.38
2026-06-16 07:18:25.767536727,54.11,2.26
2026-06-16 07:32:58.494809454,43.9,4.24
2026-06-16 07:47:31.222082181,51.04,2.37
2026-06-16 08:02:03.949354909,40.2,2.74
2026-06-16 08:16:36.676627636,43.36,3.65
2026-06-16 08:31:09.403900363,50.98,2.02
2026-06-16 08:45:42.131173090,53.69,3.18
2026-06-16 09:00:14.858445818,50.86,4.05
2026-06-16 09:14:47.585718545,49.42,1.71
2026-06-16 09:29:20.312991272,48.49,3.15
2026-06-16 09:43:53.040264000,42.61,3.21
2026-06-16 09:58:25.767536727,46.4,3.63
2026-06-16 10:12:58.494809454,47.7,2.01
2026-06-16 10:27:31.222082181,55.29,1.94
2026-06-16 10:42:03.949354909,51.72,3.42
2026-06-16 10:56:36.676627636,41.18,3.24
2026-06-16 11:11:09.403900363,51.62,3.2
2026-06-16 11:25:42.131173090,48.07,3.28
2026-06-16 11:40:14.858445818,46.62,2.46
2026-06-16 11:54:47.585718545,53.06,3.19
2026-06-16 12:09:20.312991272,55.15,3.23
2026-06-16 12:23:53.040264000,54.66,2.43
2026-06-16 12:38:25.767536727,45.8,4.49
2026-06-16 12:52:58.494809454,48.45,3.38
2026-06-16 13:07:31.222082181,51.66,2.05
2026-06-16 13:22:03.949354909,54.88,3.53
2026-06-16 13:36:36.676627636,47.6,2.22
2026-06-16 13:51:09.403900363,49.07,3.63
2026-06-16 14:05:42.131173090,44.47,3.93
2026-06-16 14:20:14.858445818,44.02,2.34
2026-06-16 14:34:47.585718545,54.06,3.77
2026-06-16 14:49:20.312991272,56.78,3.33
2026-06-16 15:03:53.040264000,49.64,3.66
2026-06-16 15:18:25.767536727,55.02,4.52
2026-06-16 15:32:58.494809454,51.81,2.8
2026-06-16 15:47:31.222082181,46.77,2.4
2026-06-16 16:02:03.949354909,51.81,2.29
2026-06-16 16:16:36.676627636,57.69,2.35
2026-06-16 16:31:09.403900363,49.82,2.94
2026-06-16 16:45:42.131173090,57.82,3.27
2026-06-16 17:00:14.858445818,36.9,3.22
2026-06-16 17:14:47.585718545,54.11,3.66
2026-06-16 17:29:20.312991272,50.44,3.01
2026-06-16 17:43:53.040264000,48.5,4.16
2026-06-16 17:58:25.767536727,50.46,2.79
2026-06-16 18:12:58.494809454,40.06,5.18
2026-06-16 18:27:31.222082181,48.9,3.5
2026-06-16 18:42:03.949354909,51.79,2.31
2026-06-16 18:56:36.676627636,57.39,2.14
2026-06-16 19:11:09.403900363,47.41,3.39
2026-06-16 19:25:42.131173090,45.96,2.82
2026-06-16 19:40:14.858445818,47.49,3.57
2026-06-16 19:54:47.585718545,54.58,3.38
2026-06-16 20:09:20.312991272,51.64,2.94
2026-06-16 20:23:53.040264000,47.35,2.32
2026-06-16 20:38:25.767536727,52.57,1.79
2026-06-16 20:52:58.494809454,50.49,2.64
2026-06-16 21:07:31.222082181,54.84,3.69
2026-06-16 21:22:03.949354909,46.49,3.17
2026-06-16 21:36:36.676627636,48.36,2.0
2026-06-16 21:51:09.403900363,48.04,3.14
2026-06-16 22:05:42.131173090,42.68,3.31
2026-06-16 22:20:14.858445818,51.48,2.29
2026-06-16 22:34:47.585718545,51.31,3.12
2026-06-16 22:49:20.312991272,50.03,3.05
2026-06-16 23:03:53.040264000,48.83,2.09
